0	0
1	0
2	0
3	0
4	1
5	1
6	0
7	0
8	0
9	1
10	0
11	1
12	2
13	2
14	2
15	2
16	1
17	1
18	1
19	2
20	4
21	3
22	2
23	5
24	4
25	3
26	6
27	8
28	7
29	9
30	7
31	8
32	7
33	9
34	13
35	15
36	15
37	15
38	15
39	19
40	17
41	24
42	29
43	30
44	32
45	41
46	45
47	45
48	51
49	60
50	60
51	66
52	74
53	80
54	94
55	91
56	106
57	114
58	142
59	152
60	164
61	190
62	193
63	225
64	260
65	279
66	306
67	354
68	369
69	394
70	469
71	511
72	568
73	604
74	664
75	768
76	859
77	922
78	909
79	740
80	565
81	458
82	489
83	557
84	635
85	693
86	746
87	850
88	873
89	704
90	336
91	85
92	9
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
