0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	1
10	0
11	1
12	0
13	1
14	1
15	2
16	2
17	2
18	1
19	3
20	1
21	3
22	4
23	3
24	4
25	2
26	5
27	3
28	6
29	4
30	7
31	7
32	7
33	8
34	9
35	7
36	12
37	9
38	16
39	17
40	16
41	18
42	17
43	22
44	20
45	27
46	25
47	30
48	36
49	42
50	37
51	50
52	49
53	60
54	55
55	70
56	69
57	76
58	85
59	95
60	105
61	118
62	128
63	152
64	176
65	184
66	212
67	213
68	262
69	283
70	320
71	352
72	379
73	434
74	469
75	526
76	566
77	619
78	676
79	754
80	839
81	910
82	1001
83	1096
84	1257
85	1351
86	1528
87	1665
88	1759
89	1440
90	681
91	178
92	20
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
