0	0
1	1
2	0
3	2
4	1
5	1
6	2
7	1
8	3
9	1
10	2
11	2
12	1
13	4
14	2
15	4
16	4
17	6
18	7
19	3
20	5
21	5
22	7
23	7
24	9
25	9
26	11
27	14
28	12
29	17
30	20
31	22
32	18
33	25
34	21
35	28
36	28
37	32
38	45
39	46
40	52
41	52
42	66
43	71
44	75
45	76
46	91
47	97
48	112
49	122
50	140
51	157
52	150
53	166
54	135
55	73
56	35
57	34
58	32
59	41
60	41
61	54
62	42
63	58
64	68
65	73
66	86
67	71
68	87
69	60
70	41
71	30
72	32
73	47
74	49
75	56
76	49
77	61
78	63
79	75
80	80
81	83
82	96
83	105
84	133
85	139
86	160
87	178
88	172
89	142
90	76
91	16
92	3
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
